"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-09","12.30",",,W","1.16",",,W,2400","9.4",",,W,2400","2",",,W,2400",,,"44",",,W","19",",,W","  310",",,W","  320",",,W","23.0",",,W","36.9",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-10","8.50",",,W","0.00","T,,W,2400","0.0","T,,W,2400","8",",,W,2400",,,"32",",,W","19",",,W","  280",",,W","  260",",,W","16.1",",,W","31.1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-11","4.03",",,W","0.00",",,W,2400","0.0",",,W,2400","5",",,W,2400",,,"48",",,W","30",",,W","  240",",,W","  240",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-12","7.16",",,W","0.46",",,W,2400","0.0","T,,W,2400","2",",,W,2400",,,"40",",,W","30",",,W","   70",",,W","   60",",,W","17.0",",,W","23.0",",,W","    1",",,W",,,,,"    1",",,W",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-13","12.30",",,W","0.02",",,W,2400","0.0",",,W,2400","2",",,W,2400",,,"39",",,W","31",",,W","  310",",,W","  310",",,W","28.0",",,W","48.1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-14","5.37",",,W","0.00",",,W,2400","0.0",",,W,2400","2",",,W,2400",,,"41",",,W","28",",,W","  250",",,W","  310",",,W","13.0",",,W","19.9",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-15","6.49",",,W","0.00","T,,W,2400","0.0",",,W,2400","0","T,,W,2400",,,"47",",,W","35",",,W","  280",",,W","  280",",,W","18.1",",,W","29.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-16","10.51",",,W","0.00",",,W,2400","0.0",",,W,2400","0","T,,W,2400",,,"35",",,W","28",",,W","  310",",,W","  310",",,W","17.0",",,W","29.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-17","8.50",",,W","0.00",",,W,2400","0.0",",,W,2400","0","T,,W,2400",,,"41",",,W","26",",,W","  290",",,W","  290",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-18","5.82",",,W","0.00",",,W,2400","0.0",",,W,2400","0",",,W,2400",,,"63",",,W","35",",,W","  250",",,W","  240",",,W","16.1",",,W","28.0",",,W",,,,,,,,,,
